Store,Assortment,CompetitionDistance,Promo2,PromoInterval,CompetitionOpenSince,Promo2Since,StoreType_a,StoreType_b,StoreType_c,StoreType_d
1,0,1270.0,0,,2008-09-01,,0,0,1,0
2,0,570.0,1,"Jan,Apr,Jul,Oct",2007-11-01,2010-03-29,1,0,0,0
3,0,14130.0,1,"Jan,Apr,Jul,Oct",2006-12-01,2011-04-04,1,0,0,0
4,2,620.0,0,,2009-09-01,,0,0,1,0
5,0,29910.0,0,,2015-04-01,,1,0,0,0
6,0,310.0,0,,2013-12-01,,1,0,0,0
7,2,24000.0,0,,2013-04-01,,1,0,0,0
8,0,7520.0,0,,2014-10-01,,1,0,0,0
9,2,2030.0,0,,2000-08-01,,1,0,0,0
10,0,3160.0,0,,2009-09-01,,1,0,0,0
11,2,960.0,1,"Jan,Apr,Jul,Oct",2011-11-01,2012-01-02,1,0,0,0
12,2,1070.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2010-03-29,1,0,0,0
13,0,310.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,0,0,0,1
14,0,1300.0,1,"Jan,Apr,Jul,Oct",2014-03-01,2011-10-03,1,0,0,0
15,2,4110.0,1,"Jan,Apr,Jul,Oct",2010-03-01,2011-04-04,0,0,0,1
16,2,3270.0,0,,2010-02-01,,1,0,0,0
17,0,50.0,1,"Jan,Apr,Jul,Oct",2005-12-01,2010-06-28,1,0,0,0
18,2,13840.0,1,"Jan,Apr,Jul,Oct",2010-06-01,2012-04-02,0,0,0,1
19,2,3240.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2011-05-30,1,0,0,0
20,0,2340.0,1,"Jan,Apr,Jul,Oct",2009-05-01,2014-10-06,0,0,0,1
21,2,550.0,1,"Jan,Apr,Jul,Oct",1999-10-01,2009-11-09,0,0,1,0
22,0,1040.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2012-05-28,1,0,0,0
23,0,4060.0,0,,2005-08-01,,0,0,0,1
24,2,4590.0,1,"Jan,Apr,Jul,Oct",2000-03-01,2011-10-03,1,0,0,0
25,0,430.0,0,,2003-04-01,,0,0,1,0
26,0,2300.0,0,,2010-02-01,,0,0,0,1
27,0,60.0,1,"Jan,Apr,Jul,Oct",2005-01-01,2011-01-31,1,0,0,0
28,0,1200.0,1,"Mar,Jun,Sept,Dec",2014-10-01,2015-02-09,1,0,0,0
29,2,2170.0,0,,2010-02-01,,0,0,0,1
30,0,40.0,1,"Mar,Jun,Sept,Dec",2014-02-01,2014-03-10,1,0,0,0
31,2,9800.0,0,,2012-07-01,,0,0,0,1
32,0,2910.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,1,0,0,0
33,2,1320.0,0,,2013-05-01,,1,0,0,0
34,0,2240.0,0,,2009-09-01,,0,0,1,0
35,2,7660.0,1,"Jan,Apr,Jul,Oct",2000-10-01,2012-01-02,0,0,0,1
36,2,540.0,1,"Jan,Apr,Jul,Oct",2003-06-01,2014-10-06,1,0,0,0
37,0,4230.0,0,,2014-12-01,,0,0,1,0
38,0,1090.0,0,,2007-04-01,,0,0,0,1
39,0,260.0,1,"Feb,May,Aug,Nov",2006-10-01,2013-08-05,1,0,0,0
40,0,180.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,1,0,0,0
41,2,1180.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2013-08-05,0,0,0,1
42,2,290.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2011-10-03,1,0,0,0
43,0,4880.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2009-09-14,0,0,0,1
44,0,540.0,0,,2011-06-01,,1,0,0,0
45,0,9710.0,0,,2014-02-01,,0,0,0,1
46,0,1200.0,1,"Jan,Apr,Jul,Oct",2005-09-01,2011-04-04,0,0,1,0
47,2,270.0,1,"Jan,Apr,Jul,Oct",2013-04-01,2013-04-08,1,0,0,0
48,0,1060.0,0,,2012-05-01,,1,0,0,0
49,2,18010.0,0,,2007-09-01,,0,0,0,1
50,0,6260.0,0,,2009-11-01,,0,0,0,1
51,2,10570.0,1,"Jan,Apr,Jul,Oct",2013-07-01,2011-02-28,1,0,0,0
52,2,450.0,1,"Jan,Apr,Jul,Oct",2014-04-01,2010-09-27,0,0,0,1
53,2,30360.0,0,,2013-09-01,,1,0,0,0
54,2,7170.0,1,"Feb,May,Aug,Nov",2014-08-01,2013-02-04,0,0,0,1
55,0,720.0,0,,2004-11-01,,1,0,0,0
56,2,6620.0,1,"Mar,Jun,Sept,Dec",2012-03-01,2014-03-10,0,0,0,1
57,2,420.0,0,,2014-06-01,,0,0,0,1
58,2,7340.0,1,"Jan,Apr,Jul,Oct",2008-05-01,2012-07-02,1,0,0,0
59,2,2840.0,1,"Jan,Apr,Jul,Oct",2007-06-01,2011-04-04,1,0,0,0
60,2,5540.0,0,,2009-10-01,,0,0,0,1
61,2,350.0,1,"Jan,Apr,Jul,Oct",2007-12-01,2012-01-02,1,0,0,0
62,0,2050.0,0,,2010-02-01,,1,0,0,0
63,2,3700.0,1,"Feb,May,Aug,Nov",2010-06-01,2010-05-03,0,0,1,0
64,2,22560.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2013-04-08,0,0,0,1
65,2,13840.0,1,"Jan,Apr,Jul,Oct",2010-05-01,2012-01-02,1,0,0,0
66,0,7660.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2009-09-14,0,0,0,1
67,2,410.0,0,,2006-02-01,,1,0,0,0
68,2,250.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2012-08-27,1,0,0,0
69,2,1130.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2011-10-03,0,0,1,0
70,2,4840.0,0,,2010-02-01,,0,0,1,0
71,0,17500.0,1,"Mar,Jun,Sept,Dec",2008-08-01,2009-09-14,1,0,0,0
72,0,2200.0,1,"Jan,Apr,Jul,Oct",2009-12-01,2010-03-29,1,0,0,0
73,2,1650.0,0,,2008-09-01,,1,0,0,0
74,0,330.0,0,,2010-02-01,,1,0,0,0
75,2,22440.0,0,,2013-12-01,,0,0,0,1
76,2,19960.0,0,,2006-03-01,,0,0,0,1
77,2,1090.0,1,"Jan,Apr,Jul,Oct",2009-08-01,2014-03-10,0,0,0,1
78,0,3510.0,1,"Feb,May,Aug,Nov",2006-11-01,2013-02-04,1,0,0,0
79,0,3320.0,0,,2010-02-01,,1,0,0,0
80,0,7910.0,0,,2010-02-01,,0,0,0,1
81,0,2370.0,1,"Jan,Apr,Jul,Oct",2011-03-01,2014-10-06,1,0,0,0
82,0,22390.0,1,"Jan,Apr,Jul,Oct",2008-04-01,2009-09-14,1,0,0,0
83,0,2710.0,0,,2010-02-01,,1,0,0,0
84,2,11810.0,0,,2014-08-01,,1,0,0,0
85,0,1870.0,0,,2011-10-01,,0,1,0,0
86,0,480.0,1,"Jan,Apr,Jul,Oct",2005-02-01,2013-08-05,1,0,0,0
87,0,560.0,0,,2010-12-01,,1,0,0,0
88,0,10690.0,0,,2005-10-01,,1,0,0,0
89,0,2380.0,1,"Jan,Apr,Jul,Oct",2004-07-01,2014-10-06,1,0,0,0
90,0,330.0,0,,2007-11-01,,1,0,0,0
91,0,2410.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2011-08-29,0,0,1,0
92,0,240.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,0,0,1,0
93,0,16690.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2011-04-04,1,0,0,0
94,2,14620.0,0,,2010-02-01,,0,0,0,1
95,0,1890.0,0,,2014-10-01,,1,0,0,0
96,0,8780.0,1,"Jan,Apr,Jul,Oct",2005-02-01,2009-09-14,1,0,0,0
97,2,8980.0,0,,2010-02-01,,0,0,0,1
98,2,15140.0,1,"Jan,Apr,Jul,Oct",2006-12-01,2012-01-02,0,0,0,1
99,2,2030.0,1,"Mar,Jun,Sept,Dec",2003-11-01,2012-05-28,0,0,1,0
100,0,17930.0,0,,2010-02-01,,0,0,0,1
101,2,2440.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2012-05-28,0,0,0,1
102,0,150.0,1,"Mar,Jun,Sept,Dec",2007-12-01,2014-03-10,1,0,0,0
103,2,5210.0,0,,2015-05-01,,0,0,0,1
104,0,390.0,0,,2009-06-01,,1,0,0,0
105,2,6190.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2013-06-10,1,0,0,0
106,0,1390.0,0,,2013-08-01,,1,0,0,0
107,0,1930.0,0,,2009-09-01,,1,0,0,0
108,2,2190.0,0,,2003-09-01,,0,0,0,1
109,2,3300.0,0,,2010-11-01,,1,0,0,0
110,2,46590.0,0,,2013-04-01,,1,0,0,0
111,2,7890.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2009-09-14,0,0,0,1
112,0,1630.0,0,,2009-09-01,,1,0,0,0
113,2,20930.0,0,,1999-11-01,,0,0,0,1
114,0,4510.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2011-11-28,0,0,1,0
115,2,5740.0,1,"Jan,Apr,Jul,Oct",2007-04-01,2014-10-06,0,0,0,1
116,0,680.0,0,,2013-04-01,,1,0,0,0
117,0,3450.0,0,,2011-09-01,,1,0,0,0
118,2,3580.0,0,,2012-09-01,,0,0,0,1
119,2,2100.0,0,,2010-02-01,,1,0,0,0
120,0,2290.0,1,"Jan,Apr,Jul,Oct",2014-12-01,2009-09-14,0,0,0,1
121,0,3570.0,1,"Mar,Jun,Sept,Dec",2009-11-01,2013-09-09,1,0,0,0
122,2,58260.0,0,,2013-04-01,,1,0,0,0
123,0,16760.0,0,,2011-09-01,,1,0,0,0
124,0,1410.0,0,,2003-04-01,,1,0,0,0
125,0,760.0,0,,2005-12-01,,1,0,0,0
126,0,3370.0,1,"Feb,May,Aug,Nov",2014-10-01,2011-05-02,0,0,0,1
127,0,1350.0,1,"Jan,Apr,Jul,Oct",2005-12-01,2010-03-29,0,0,0,1
128,2,2000.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2013-01-07,0,0,0,1
129,0,2460.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2011-04-04,1,0,0,0
130,0,900.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2010-03-29,0,0,1,0
131,0,920.0,0,,2015-07-01,,0,0,1,0
132,2,1040.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2012-07-02,0,0,0,1
133,0,270.0,1,"Mar,Jun,Sept,Dec",2013-08-01,2014-03-10,1,0,0,0
134,0,1200.0,0,,2008-09-01,,1,0,0,0
135,0,5190.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2013-01-07,0,0,0,1
136,2,2200.0,1,"Feb,May,Aug,Nov",2010-12-01,2012-05-28,1,0,0,0
137,0,1730.0,1,"Jan,Apr,Jul,Oct",2015-07-01,2014-10-06,1,0,0,0
138,2,25360.0,0,,2014-10-01,,1,0,0,0
139,0,1700.0,1,"Jan,Apr,Jul,Oct",2008-01-01,2011-04-04,1,0,0,0
140,2,1090.0,1,"Jan,Apr,Jul,Oct",2010-07-01,2013-01-07,1,0,0,0
141,2,1540.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2012-05-28,0,0,1,0
142,0,1090.0,0,,2002-07-01,,1,0,0,0
143,0,2930.0,0,,2002-12-01,,0,0,0,1
144,2,16570.0,0,,2010-02-01,,1,0,0,0
145,0,280.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,1,0,0,0
146,2,8050.0,1,"Jan,Apr,Jul,Oct",1961-10-01,2012-11-26,0,0,0,1
147,2,8540.0,0,,2010-02-01,,0,0,0,1
148,0,2090.0,0,,2008-12-01,,1,0,0,0
149,0,2610.0,1,"Jan,Apr,Jul,Oct",2006-07-01,2011-04-04,0,0,0,1
150,2,31830.0,0,,2010-03-01,,0,0,1,0
151,2,4360.0,0,,2005-10-01,,0,0,0,1
152,0,1780.0,0,,2010-02-01,,1,0,0,0
153,0,16240.0,1,"Feb,May,Aug,Nov",2000-10-01,2011-05-02,1,0,0,0
154,2,16420.0,0,,2010-02-01,,0,0,0,1
155,0,3050.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2010-08-30,0,0,0,1
156,0,2020.0,1,"Mar,Jun,Sept,Dec",2011-02-01,2011-04-04,1,0,0,0
157,2,2950.0,0,,2004-10-01,,1,0,0,0
158,2,11840.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-08-03,0,0,0,1
159,0,8530.0,0,,2013-03-01,,0,0,0,1
160,2,17110.0,0,,2005-11-01,,0,0,0,1
161,2,2970.0,0,,2005-03-01,,1,0,0,0
162,2,5340.0,1,"Jan,Apr,Jul,Oct",2012-03-01,2010-03-29,0,0,0,1
163,0,1480.0,0,,2009-04-01,,1,0,0,0
164,0,1160.0,1,"Jan,Apr,Jul,Oct",2005-09-01,2010-03-29,1,0,0,0
165,0,3720.0,1,"Jan,Apr,Jul,Oct",2005-04-01,2010-03-29,1,0,0,0
166,2,100.0,1,"Jan,Apr,Jul,Oct",2014-04-01,2013-08-05,1,0,0,0
167,0,140.0,0,,2008-04-01,,1,0,0,0
168,0,12540.0,0,,2010-02-01,,1,0,0,0
169,0,980.0,1,"Feb,May,Aug,Nov",2014-07-01,2014-05-05,0,0,0,1
170,0,1070.0,1,"Jan,Apr,Jul,Oct",2015-05-01,2011-04-04,1,0,0,0
171,0,2640.0,0,,2010-02-01,,1,0,0,0
172,0,110.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2014-10-06,1,0,0,0
173,0,350.0,0,,2012-12-01,,1,0,0,0
174,0,13090.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2012-05-28,1,0,0,0
175,0,4130.0,0,,2010-02-01,,0,0,1,0
176,0,3770.0,0,,2010-02-01,,1,0,0,0
177,0,1250.0,1,"Feb,May,Aug,Nov",2004-02-01,2013-02-04,1,0,0,0
178,0,1710.0,0,,2010-02-01,,0,0,0,1
179,2,480.0,0,,2010-02-01,,1,0,0,0
180,0,5800.0,0,,2010-09-01,,0,0,0,1
181,0,12610.0,1,"Jan,Apr,Jul,Oct",2013-03-01,2011-04-04,1,0,0,0
182,2,1390.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2011-02-28,0,0,0,1
183,0,9670.0,0,,2010-02-01,,1,0,0,0
184,2,3560.0,0,,2010-02-01,,0,0,0,1
185,2,1860.0,0,,2015-05-01,,0,0,0,1
186,0,290.0,1,"Jan,Apr,Jul,Oct",2011-10-01,2014-10-06,1,0,0,0
187,2,19360.0,0,,2010-02-01,,1,0,0,0
188,0,850.0,1,"Feb,May,Aug,Nov",2010-02-01,2011-05-02,0,0,0,1
189,0,5760.0,0,,2014-07-01,,0,0,0,1
190,0,1470.0,1,"Jan,Apr,Jul,Oct",2006-12-01,2014-10-06,1,0,0,0
191,0,1100.0,1,"Jan,Apr,Jul,Oct",2013-08-01,2014-10-06,1,0,0,0
192,2,2770.0,1,"Jan,Apr,Jul,Oct",2008-03-01,2014-10-06,0,0,0,1
193,0,520.0,0,,2010-02-01,,1,0,0,0
194,2,16970.0,1,"Feb,May,Aug,Nov",2010-02-01,2013-02-04,0,0,0,1
195,2,220.0,0,,2010-02-01,,1,0,0,0
196,0,3850.0,1,"Jan,Apr,Jul,Oct",2005-11-01,2011-04-04,0,0,1,0
197,0,4210.0,0,,2015-03-01,,0,0,1,0
198,0,290.0,1,"Jan,Apr,Jul,Oct",2002-09-01,2010-03-29,1,0,0,0
199,2,6360.0,1,"Mar,Jun,Sept,Dec",2010-12-01,2012-04-02,0,0,0,1
200,0,1650.0,0,,2000-10-01,,1,0,0,0
201,0,20260.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2014-05-05,0,0,0,1
202,2,5140.0,0,,2010-05-01,,0,0,0,1
203,2,490.0,0,,2002-11-01,,0,0,1,0
204,0,5630.0,1,"Jan,Apr,Jul,Oct",2002-12-01,2014-10-06,1,0,0,0
205,0,110.0,0,,2007-12-01,,1,0,0,0
206,2,380.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2012-04-02,1,0,0,0
207,0,6870.0,0,,2010-02-01,,1,0,0,0
208,0,300.0,0,,2006-04-01,,0,0,1,0
209,2,11680.0,1,"Jan,Apr,Jul,Oct",2011-09-01,2013-08-05,1,0,0,0
210,0,970.0,1,"Feb,May,Aug,Nov",1999-11-01,2013-02-04,0,0,0,1
211,2,350.0,0,,2006-11-01,,1,0,0,0
212,2,15050.0,0,,2008-09-01,,1,0,0,0
213,2,4030.0,1,"Jan,Apr,Jul,Oct",2014-03-01,2014-01-06,0,0,0,1
214,0,8650.0,1,"Jan,Apr,Jul,Oct",2013-07-01,2014-03-10,0,0,0,1
215,0,150.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,0,0,0,1
216,0,190.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,0,0,1,0
217,0,3150.0,0,,2010-02-01,,0,0,1,0
218,2,640.0,1,"Mar,Jun,Sept,Dec",2010-02-01,2011-02-28,1,0,0,0
219,0,1640.0,0,,2013-02-01,,1,0,0,0
220,0,1000.0,0,,2008-09-01,,1,0,0,0
221,2,13530.0,0,,2013-09-01,,0,0,0,1
222,0,2170.0,0,,2008-11-01,,1,0,0,0
223,2,2920.0,1,"Jan,Apr,Jul,Oct",1995-10-01,2011-07-04,0,0,0,1
224,2,7930.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2013-01-07,0,0,0,1
225,0,10180.0,0,,2015-05-01,,0,0,0,1
226,0,450.0,0,,2010-02-01,,1,0,0,0
227,0,2370.0,0,,2010-02-01,,1,0,0,0
228,2,10800.0,1,"Feb,May,Aug,Nov",2010-02-01,2011-05-02,0,0,0,1
229,2,17410.0,1,"Jan,Apr,Jul,Oct",2007-04-01,2011-04-04,0,0,0,1
230,2,6680.0,0,,2013-09-01,,0,0,0,1
231,2,3840.0,1,"Feb,May,Aug,Nov",2008-10-01,2010-09-27,0,0,0,1
232,2,13570.0,1,"Mar,Jun,Sept,Dec",2010-05-01,2013-03-11,0,0,1,0
233,0,1890.0,0,,2010-02-01,,1,0,0,0
234,0,4370.0,0,,2010-02-01,,0,0,0,1
235,0,5710.0,1,"Jan,Apr,Jul,Oct",2012-03-01,2009-09-14,1,0,0,0
236,0,1000.0,0,,2007-11-01,,1,0,0,0
237,0,1420.0,0,,2007-11-01,,1,0,0,0
238,0,320.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-11-09,1,0,0,0
239,2,610.0,0,,2010-02-01,,0,0,0,1
240,0,1110.0,0,,2009-05-01,,1,0,0,0
241,2,780.0,0,,2010-02-01,,0,0,0,1
242,0,6880.0,1,"Jan,Apr,Jul,Oct",2001-09-01,2011-04-04,0,0,0,1
243,0,310.0,1,"Feb,May,Aug,Nov",2010-02-01,2013-02-04,1,0,0,0
244,0,710.0,1,"Jan,Apr,Jul,Oct",2012-03-01,2012-01-02,0,0,0,1
245,2,1310.0,0,,2010-02-01,,1,0,0,0
246,0,4660.0,0,,2013-04-01,,0,0,1,0
247,2,70.0,1,"Feb,May,Aug,Nov",2010-11-01,2013-02-04,0,0,0,1
248,2,340.0,1,"Jan,Apr,Jul,Oct",2012-09-01,2012-10-01,1,0,0,0
249,2,18010.0,0,,2014-09-01,,0,0,0,1
250,0,3520.0,1,"Feb,May,Aug,Nov",2010-02-01,2012-04-30,0,0,0,1
251,2,340.0,0,,2010-02-01,,1,0,0,0
252,2,22330.0,1,"Feb,May,Aug,Nov",2010-02-01,2010-02-01,0,0,0,1
253,2,250.0,1,"Feb,May,Aug,Nov",2010-02-01,2013-02-04,1,0,0,0
254,0,330.0,1,"Mar,Jun,Sept,Dec",2008-03-01,2012-01-02,0,0,0,1
255,2,4630.0,1,"Feb,May,Aug,Nov",2011-03-01,2011-08-29,0,0,1,0
256,2,80.0,1,"Mar,Jun,Sept,Dec",2005-09-01,2014-03-10,1,0,0,0
257,0,420.0,0,,2012-12-01,,1,0,0,0
258,0,27190.0,1,"Jan,Apr,Jul,Oct",2010-07-01,2009-09-14,1,0,0,0
259,1,210.0,0,,2010-02-01,,0,1,0,0
260,0,540.0,0,,2011-10-01,,1,0,0,0
261,2,15340.0,1,"Jan,Apr,Jul,Oct",2015-04-01,2009-09-28,0,0,0,1
262,0,1180.0,0,,2013-05-01,,0,1,0,0
263,2,1140.0,1,"Jan,Apr,Jul,Oct",2013-05-01,2014-10-06,1,0,0,0
264,0,180.0,0,,2014-03-01,,1,0,0,0
265,0,4580.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2015-04-06,1,0,0,0
266,2,360.0,1,"Mar,Jun,Sept,Dec",2014-03-01,2011-02-28,1,0,0,0
267,0,2460.0,0,,2012-01-01,,0,0,1,0
268,0,4520.0,0,,2014-02-01,,1,0,0,0
269,2,60.0,0,,2015-06-01,,1,0,0,0
270,0,1450.0,0,,2014-07-01,,1,0,0,0
271,0,420.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2011-04-04,1,0,0,0
272,0,16180.0,1,"Jan,Apr,Jul,Oct",2003-07-01,2011-04-04,1,0,0,0
273,2,8480.0,0,,2010-02-01,,1,0,0,0
274,1,3640.0,1,"Jan,Apr,Jul,Oct",2010-02-01,2013-03-11,0,1,0,0
275,0,300.0,1,"Jan,Apr,Jul,Oct",2014-05-01,2014-10-06,0,0,0,1
276,0,2960.0,1,"Mar,Jun,Sept,Dec",2014-10-01,2013-09-09,1,0,0,0
277,2,7840.0,1,"Feb,May,Aug,Nov",2010-02-01,2009-08-03,0,0,0,1
278,2,9260.0,0,,2010-02-01,,1,0,0,0
